subject	predicate	object	source_row
TELNET	通过	TCP连接注册到远地主机	0
TELNET	能将	用户击键传到远地主机	1
TELNET	能将	远地主机输出返回到用户屏幕	2
TELNET服务	是	透明的	3
TELNET	又称为	终端仿真协议	4
TELNET	使用	客户服务器方式	5
TELNET服务器	等待	新的请求	6
TELNET服务器	产生	从属进程处理每一个连接	7
TELNET	适应	计算机和操作系统差异	8
TELNET	定义了	网络虚拟终端NVT	9
NVT	是	数据和命令应怎样通过互联网	10
NVT格式	定义为	所有通信使用8位一个字节	11
NVT	使用	7位ASCII码传送数据	12
NVT	使用	高位置1作为控制命令	13
NVT	定义	CR-LF为标准的行结束控制符	14
TELNET选项协商	使	TELNET客户和服务器可商定使用更多终端功能	15
万维网WWW	是一个	大规模的、联机式的信息储藏所	16
万维网	通过	链接方法从一个站点访问另一个站点	17
万维网	由	Tim Berners-Lee提出	18
第一个图形界面浏览器	名为	Mosaic	19
万维网	是	超文本系统的扩充	20
超文本	指	包含指向其他文档的链接的文本	21
超媒体	与	超文本的区别是文档内容不同	22
万维网	以	客户服务器方式工作	23
万维网文档	称为	页面	24
统一资源定位符URL	用来	标志万维网文档	25
URL	使	每一个文档在整个互联网范围内具有唯一的标识符	26
超文本传送协议HTTP	是	应用层协议	27
HTTP	使用	TCP连接进行可靠的传送	28
HTTP	定义了	浏览器怎样向万维网服务器请求万维网文档	29
HTTP	规定	浏览器和服务器之间的请求和响应的交互格式和规则	30
HTTP	是	无状态的	31
HTTP/1.1	支持	持续连接	32
HTTP/2	是	HTTP/1.1的升级版本	33
代理服务器	又称为	万维网高速缓存Web cache	34
代理服务器	把	最近的一些请求和响应暂存在本地磁盘中	35
内容分发网络CDN	由	代理服务器方式构成	36
HTTP报文	由	请求报文和响应报文组成	37
HTTP请求报文	包括	请求行、首部行和实体主体	38
HTTP响应报文	包括	状态行、首部行和实体主体	39
状态码	分为	5大类	40
Cookie	用于	在HTTP服务器和客户之间传递状态信息	41
Cookie	可以	跟踪用户在网站的活动	42
超文本标记语言HTML	是	制作万维网页面的标准语言	43
HTML	定义了许多	用于排版的命令即标签	44
HTML文档	是一种	ASCII码文件	45
动态万维网文档	指	文档内容在浏览器访问万维网服务器时由应用程序动态创建	46
动态文档	需要	通用网关接口CGI	47
CGI程序	又称为	CGI脚本	48
活动万维网文档	指	文档内容可以连续地改变	49
活动文档	不需要	服务器的连续更新传送	50
Java	用于	创建和运行活动文档	51
Java小应用程序	称为	小应用程序apple t	52
全文检索搜索引擎	通过	蜘蛛程序到互联网上收集信息	53
分类目录搜索引擎	利用	各网站向搜索引擎提交网站信息	54
博客	是	万维网日志的简称	55
微博	是	微型博客	56
社交网站SNS	为	一群拥有相同兴趣与活动的人创建在线社区	57
社交网站	功能包括	电子邮件、即时传信、博客撰写、共享相册、上传视频、网页游戏、创建社团、刊登广告等	58
脸书Facebook	是	2004年在美国诞生的社交网站	59
脸书Facebook	特点包括	方便地寻找朋友或联系老同学、老同事	60
脸书Facebook	特点包括	在朋友圈中分享图片、视频和音频文件	61
脸书Facebook	特点包括	通过集成的地图功能分享用户所在的位置	62
电子邮件	是	互联网上使用最多的和最受用户欢迎的一种应用	63
电子邮件	具有	传递迅速和费用低廉的优点	64
电子邮件系统	应具有	用户代理、邮件服务器以及邮件发送协议和邮件读取协议	65
简单邮件传送协议SMTP	是	电子邮件发送协议	66
邮局协议POP3	是	邮件读取协议	67
MIME	用于	扩充电子邮件传送多种类型的数据	68
MIME邮件首部	说明	邮件的数据类型	69
