subject	predicate	object	source_row
CDMA系统	由	多个站相互通信组成	0
每个站所发送的	是	数据比特和本站的码片序列的乘积	1
码片序列	相当于	发送比特1	2
码片序列的二进制反码	相当于	发送比特0	3
所有站所发送的码片序列	必须是	同步的	4
实现码片序列同步	可通过	全球定位系统GPS	5
X站	要接收	S站发送的数据	6
X站	必须知道	S站所特有的码片序列	7
X站	使用	码片向量S与接收到的未知信号进行求内积的运算	8
X站接收到的信号	是	各个站发送的码片序列之和	9
内积的结果	是	所有其他站的信号都被过滤掉	10
S站发送比特1时	内积的结果是	+1	11
S站发送比特0时	内积的结果是	-1	12
早期电话网	采用	双绞线电缆和频分复用FDM的模拟传输方式	13
长途干线	采用	时分复用PCM的数字传输方式	14
现代电信网	包括	视频、图像和各种数据业务	15
光纤	成为	长途干线最主要的传输媒体	16
光纤	适用于承载	高速率数据业务和大量复用的低速率业务	17
早期的数字传输系统	存在	速率标准不统一和不是同步传输的问题	18
北美和日本的T1速率	是	1.544 Mbit/s	19
欧洲的E1速率	是	2.048 Mbit/s	20
同步光纤网络SONET	由美国在1988年推出	定义了同步传输的线路速率等级结构	21
SONET	以	51.840 Mbit/s为基础气	22
ITU-T	制定出	国际标准同步数字系列SDH	23
SDH	基于	美国标准SONET	24
SDH的基本速率	为	155.520 Mbit/s	25
SONET和SDH	成为	公认的新一代理想的传输网体制	26
宽带接入技术	包括	有线宽带接入和无线宽带接入	27
ADSL技术	是	非对称数字用户线技术	28
ADSL技术	用于	对现有模拟电话的用户线进行改造	29
ADSL技术	把	0~4 kHz低端频谱留给传统电话使用	30
ADSL技术	把	高端频谱留给用户上网使用	31
ADSL的ITU标准	是	G.992.1	32
