subject	predicate	object	source_row
socket	可以表示	应用程序访问连网协议的应用编程接口API	0
socket	可以表示为	socketAPI中使用的一个函数名	1
socket	可以称为	调用socket函数的端点	2
socket	可以称为	socket描述符	3
socket实现	指的是	操作系统内核中连网协议的Berkeley实现	4
TCP	依赖于	IP层传送报文段	5
IP层	提供	尽最大努力服务	6
TCP	必须采用	适当措施以实现可靠传输	7
理想传输条件	包括	传输信道不产生差错	8
理想传输条件	包括	接收方总能来得及处理收到的数据	9
停止等待协议	指的是	每发送完一个分组就停止发送，等待对方确认	10
超时重传	指的是	超过了一段时间没有收到确认就认为分组丢失，因而重传	11
确认丢失	导致	发送方在超时计时器到期后重传分组	12
确认迟到	导致	发送方收到重复的确认	13
自动重传请求ARQ	指的是	重传请求自动进行，接收方不需要请求发送方重传出错的分组	14
信道利用率	受	往返时间RTT影响	15
流水线传输	指的是	发送方可连续发送多个分组，不必每发完一个分组就停顿下来等待对方的确认	16
连续ARQ协议	规定	每收到一个确认，发送窗口向前滑动一个分组的位置	17
累积确认	指的是	接收方对按序到达的最后一个分组发送确认	18
Go-back-N	指的是	需要退回重传已发送过的N个分组	19
TCP报文段	分为	首部和数据两部分	20
TCP首部	包括	固定部分和选项部分	21
TCP首部固定部分	包含	源端口号和目的端口号	22
TCP首部固定部分	包含	序号	23
TCP	是	面向字节流的传输协议	24
TCP传送的数据单元	是	报文段	25
TCP的全部功能	体现在	TCP首部中各字段的作用	26
TCP首部的最小长度	是	20字节	27
TCP	使用	mod 2^32运算的序号	28
TCP	依赖于	IP层的不可靠传输服务	29
TCP	通过	确认和重传机制实现可靠传输	30
停止等待协议	在	无差错情况下简单有效	31
停止等待协议	在	出现差错时需要超时重传	32
确认丢失	导致	发送方无法确定分组是否需要重传	33
确认迟到	导致	发送方可能错误地重传分组	34
自动重传请求ARQ	允许	发送方在未收到确认时重传分组	35
流水线传输	通过	连续发送多个分组提高信道利用率	36
连续ARQ协议	通过	发送窗口滑动提高传输效率	37
累积确认	可能导致	发送方无法及时了解分组接收情况	38
Go-back-N	要求	发送方在出现差错时退回并重传多个分组	39
TCP首部	用于	控制TCP报文段的传输	40
TCP	通过	首部字段实现流量控制和拥塞控制	41
TCP	通过	序号实现数据的顺序传输	42
TCP	通过	确认机制实现数据的可靠传输	43
TCP	通过	超时重传机制应对信道错误	44
TCP	通过	流水线传输提高信道利用率	45
TCP	通过	连续ARQ协议提高传输效率	46
TCP	通过	滑动窗口协议提高传输效率	47
TCP	通过	累积确认减少网络开销	48
TCP	通过	Go-back-N协议应对传输差错	49
