subject	predicate	object	source_row
本章	是	全书的概要	0
本章的开始	先介绍	计算机网络在信息时代的作用	1
21世纪的特征	是	数字化、网络化和信息化	2
信息化的实现	依靠	完善的网络	3
网络	成为	信息社会的命脉和发展知识经济的重要基础	4
有三大类大家很熟悉的网络	包括	电信网络、有线电视网络和计算机网络	5
计算机网络	起着	核心作用	6
技术的发展	使得	电信网络和有线电视网络逐渐融入现代计算机网络技术	7
计算机网络	能够	向用户提供电话通信、视频通信以及传送视频节目的服务	8
三种网络融合	称为	三网融合	9
20世纪90年代以后	以Internet为代表的计算机网络	得到了飞速的发展	10
Internet	成为	全球最大的和最重要的计算机网络	11
Internet	是人类自印刷术发明以来在存储和交换信息领域的最大变革		12
Internet的中文译名	有两种	因特网和互联网	13
互联网	是由	数量极大的各种计算机网络互连起来的	14
互联网的应用	包括	社交电子邮件、网上购物、网上银行等	15
互联网	具有	连通性和共享两个重要基本特点	16
连通性	指	互联网使上网用户之间可以非常便捷地交换各种信息	17
资源共享	包括	信息共享、软件共享和硬件共享	18
互联网	已经成为	社会最为重要的基础设施之一	19
互联网+	代表	互联网的创新成果深度融合于经济社会各领域	20
互联网	对	各行各业产生巨大冲击	21
互联网	带来	负面影响如传播计算机病毒、网上欺诈等	22
互联网	通过	加强对互联网管理使正面积极的作用成为主流	23
