subject	predicate	object	source_row
路由器	在收到数据报后	把TTL的值减1	0
ICMP	用于	发送时间超过差错报告报文	1
IP数据报	当	TTL值变为零时被丢弃	2
tracert命令	用于	获得目的主机的路由信息	3
IP数据报	经过的	路由器越多，花费的时间可能越长	4
互联网	因	拥塞程度随时变化导致经过更多路由器可能花费更短的时间	5
协议IP	是	互联网的核心协议	6
IPv4	设计于	20世纪70年代末期	7
IANA	在	2011年2月3日停止向地区互联网注册机构RIR分配IPv4地址	8
我国	在	2014年至2015年逐步停止向新用户和应用分配IPv4地址	9
解决IP地址耗尽的根本措施	是	采用IPv6	10
IPv6	发布正式标准于	2017年7月	11
IPv6	将地址从IPv4的32位增大到	128位	12
IPv6	支持	无连接的传送	13
IPv6	定义了	可选的扩展首部	14
IPv6	允许	数据报包含有选项的控制信息	15
IPv6	支持	即插即用（自动配置）	16
IPv6	支持	资源的预分配	17
IPv6首部	改为	8字节对齐	18
IPv6	取消了	首部长度字段	19
IPv6	取消了	服务类型字段	20
IPv6	取消了	总长度字段	21
IPv6	取消了	标识、标志和片偏移字段	22
IPv6	把TTL字段改称为	跳数限制字段	23
IPv6	取消了	协议字段	24
IPv6	取消了	检验和字段	25
IPv6	取消了	选项字段	26
IPv6基本首部	包含	8个字段	27
IPv6	使用	冒号十六进制记法	28
IPv6	允许	零压缩	29
IPv6	地址空间大于	3.4x10^38	30
IPv6	取消了	子网掩码	31
IPv6地址	使用	CIDR的斜线表示法	32
未指明地址	是	16字节的全0地址	33
环回地址	在IPv6中是	0:0:0:0:0:0:0:1	34
多播地址	占IPv6地址总数的	1/256	35
本地站点单播地址	占IPv6地址总数的	1/1024	36
本地链路单播地址	占IPv6地址总数的	1/1024	37
全球单播地址	是IPv6中使用最多的一类地址		38
从IPv4向IPv6过渡	采用	逐步演进的办法	39
双协议栈	指	在完全过渡到IPv6之前，使一部分主机（或路由器）同时装有IPv4和IPv6这两种协议栈	40
隧道技术	用于	在IPv6数据报要进入IPv4网络时，把IPv6数据报封装成为IPv4数据报	41
ICMPv6	合并了	ARP和IGMP的功能	42
ICMPv6	是	面向报文的协议	43
路由选择协议	规定了	互联网中有关的路由器应如何相互交换信息并生成出路由表	44
理想的路由算法	应具有	正确性和完整性	45
理想的路由算法	应具有	计算简单性	46
理想的路由算法	应具有	自适应性	47
理想的路由算法	应具有	稳定性	48
理想的路由算法	应具有	公平性	49
理想的路由算法	应具有	最佳性	50
