subject	predicate	object	source_row
网际协议IP	是	TCP/IP体系中两个最主要的协议之一	0
网际协议IP	也是	最重要的互联网标准协议之一	1
网际协议IP	称为	Kahn-Cerf协议	2
Kahn-Cerf协议	由	Robert Kahn和Vint Cerf共同研发	3
Robert Kahn和Vint Cerf	在2004年获得	图灵奖	4
IP	是	IP的第4个版本，记为IPv4	5
与协议IP配套使用的协议	包括	地址解析协议ARP、网际控制报文协议ICMP和网际组管理协议IGMP	6
逆地址解析协议RARP	是	与协议ARP配合使用的	7
TCP/IP体系中的网络层	常被称为	网际层(internet layer)或IP层	8
虚拟互连网络	是	由很多网络构成的互连网络	9
中间设备	根据	所在层次的不同有转发器、网桥、路由器和网关	10
路由器	是	专用计算机，用来在互连网中进行路由选择	11
IP网	好处是	主机进行通信时，好像在一个单个网络上通信一样	12
IP地址	是	给连到互联网上的每台主机或路由器的每个接口分配的一个在全世界范围内唯一的32位的标识符	13
IP地址	由	互联网名字和数字分配机构ICANN进行分配	14
IP地址	采用	点分十进制记法	15
IP地址	具有	两级结构，由网络号和主机号组成	16
网络号	标志	主机所连接的网络	17
主机号	标志	该主机（对路由器来说，就是标志该路由器）	18
IP地址	含义是	这个IP地址不但标志了该主机（或路由器），而且还标志了此接口所连接的网络	19
分类的IP地址	包括	A类、B类和C类地址	20
D类地址	是	多播地址	21
E类地址	是	保留地址	22
无分类编址CIDR	把	网络号改称为网络前缀	23
CIDR	使用	斜线记法	24
地址掩码	由	一连串1和接着的一连串0组成	25
地址掩码	又称为	子网掩码	26
IP地址	是	标志一台主机（或路由器）和一条链路的接口	27
多归属主机	是	一台主机同时连接到两个网络上时，该主机必须同时具有两个相应的IP地址	28
路由器	至少应当	连接到两个网络，因此一个路由器至少应当有两个不同的IP地址	29
IP地址	在	互联网上是平等的	30
地址解析协议ARP	用来解决	IP地址和MAC地址之间的映射问题	31
ARP	存放	从IP地址到MAC地址的映射表	32
IP数据报	由	首部和数据两部分组成	33
IP数据报首部	包括	固定部分和选项字段	34
IP数据报首部的固定部分	长度	是固定的，共20字节	35
IP数据报首部	指出	此数据报携带的数据使用何种协议	36
IP数据报首部检验和	只检验	数据报的首部，但不包括数据部分	37
IP数据报	在	互联网中传送和转发是基于分组首部中的目的地址的	38
IP数据报	必须能够	接受长度不超过576字节的数据报	39
IP数据报	在	互联网中至多可经过255个路由器	40
IP数据报	如果	长度超过网络的MTU而必须分片	41
