subject	predicate	object	source_row
互联网	提供	服务器存储的电子文档	0
互联网	使得	资源使用非常方便	1
互联网	已成为	社会重要的基础设施之一	2
互联网＋	代表	互联网与各传统行业的融合	3
互联网＋	提升	实体经济的创新力和生产力	4
互联网应用	对	各行各业产生巨大冲击	5
互联网	带来	负面影响如计算机病毒传播	6
互联网	需要	加强管理以减少负面影响	7
互联网	已成为	世界上最大的计算机网络	8
网络	由	若干节点和连接这些节点的链路组成	9
互连网	是	网络的网络	10
主机	常称为	与网络相连的计算机	11
路由器	是	互联网不可缺少的特殊计算机	12
ARPANET	是	美国国防创建的分组交换网	13
TCP/IP协议	成为	ARPANET上的标准协议	14
NSFNET	是	美国国家科学基金会建设的计算机网络	15
NSFNET	具有	三级计算机网络结构	16
互联网	由	众多网络相互连接而成	17
ISP	是	互联网服务提供者	18
ISP	分为	主干ISP、地区ISP和本地ISP	19
IXP	允许	两个网络直接交换分组	20
内容提供者	提供	互联网上的视频文件服务	21
万维网WWW	被广泛使用在	互联网上	22
IAB	负责	管理互联网有关协议的开发	23
IETF	是	互联网工程部	24
IRTF	是	互联网研究部	25
RFC	是	请求评论文档	26
RFC文档	可以	从互联网上免费下载	27
互联网标准	经过	三个阶段的制定过程	28
互联网草案	具有	六个月的有效期	29
建议标准	成为	RFC文档	30
互联网标准	分配	标准编号STDxx	31
RFC文档	包括	历史的、实验的和提供信息的文档	32
RFC INDEX	用于	查找RFC文档	33
互联网	覆盖	全球	34
互联网	划分为	边缘部分和核心部分	35
边缘部分	由	所有连接在互联网上的主机组成	36
核心部分	由	大量网络和连接这些网络的路由器组成	37
智能手机	相当于	计算机网络上的主机	38
互联网协会ISOC	负责	对互联网进行全面管理	39
IETF	由	许多工作组WG组成	40
IRTF	由	一些研究组RG组成	41
RFC文档	更新后	使用新的编号	42
互联网用户数	在	2019年3月超过43.8亿	43
互联网	迅猛发展始于	20世纪90年代	44
