subject	predicate	object	source_row
数据通信系统	可划分为	源系统、传输系统和目的系统	0
源系统	包括	源点和发送器	1
源点	又称为	源站或信源	2
发送器	是	调制器	3
目的系统	包括	接收器和终点	4
接收器	是	解调器	5
终点	又称为	目的站或信宿	6
传输系统	可以是	简单的传输线或复杂网络系统	7
通信	目的是	传送消息	8
消息	包括	话音、文字、图像、视频等	9
数据	是	运送消息的实体	10
信号	是	数据的电气或电磁的表现	11
模拟信号	是	代表消息的参数取值连续的信号	12
数字信号	是	代表消息的参数取值离散的信号	13
码元	是	代表不同离散数值的基本波形	14
信道	表示	向某一方向传送信息的媒体	15
单向通信	又称为	单工通信	16
双向交替通信	又称为	半双工通信	17
双向同时通信	又称为	全双工通信	18
基带信号	是	来自信源的信号	19
调制	可分为	基带调制和带通调制	20
不归零制	是	正电平代表1,负电平代表0的编码方式	21
归零制	是	正脉冲代表1，负脉冲代表0的编码方式	22
曼彻斯特编码	是	位周期中心的跳变代表码元的编码方式	23
差分曼彻斯特编码	是	位中心跳变代表码元的编码方式	24
调幅	是	载波振幅随基带数字信号变化的调制方法	25
调频	是	载波频率随基带数字信号变化的调制方法	26
调相	是	载波初始相位随基带数字信号变化的调制方法	27
信道极限容量	受	信道能通过的频率范围和信噪比影响	28
奈氏准则	给出	码元传输速率上限值	29
香农公式	指出	信道的极限信息传输速率C	30
传输媒体	可分为	导引型传输媒体和非导引型传输媒体	31
双绞线	是	最古老但最常用的传输媒体	32
无屏蔽双绞线UTP	特点是	价格便宜	33
传输媒体	是	数据传输系统中在发送器和接收器之间的物理通路	34
导引型传输媒体	包括	铜线或光纤	35
非导引型传输媒体	指	自由空间	36
非导引型传输	常称为	无线传输	37
用户线或用户环路	是	从用户电话机到交换机的双绞线	38
以太网	基本上使用	各种类型的双绞线电缆进行连接	39
双绞线	通过	增加绞合度和电磁屏蔽减少串扰	40
信号	受到	脉冲干扰和传输中产生的失真等损伤	41
