subject	predicate	object	source_row
移动IP	需要	永久IP地址	0
移动用户	更换	连接点（基站）	1
TCP连接	受	移动用户切换影响	2
TCP	响应	报文段丢失或出错	3
TCP拥塞控制	会	减小拥塞窗口	4
TCP	需要	区分有线网络拥塞和无线链路拥塞	5
TCP连接	拆分为	两个互相串接的TCP连接	6
蜂窝移动通信	发展规律	大约十年更新一代	7
蜂窝移动通信	从	1G发展到4G	8
5G	包含	增强型移动宽带eMBB	9
5G	包含	大规模机器类型通信mMTC	10
5G	包含	超高可靠超低时延通信uRLLC	11
eMBB	属于	人联网	12
mMTC	又称为	海量物联网	13
uRLLC	使用在	工业控制、交通安全和控制、远程制造、远程手术以及无人驾驶等领域	14
5G	规定	下行数据峰值速率为10Gbit/s	15
5G	使用	5GNR(5G New Radio)空口标准	16
5G	采用	更高的频率	17
5G	使用	更大的信道带宽	18
5G	具有	极高的速率、极大的容量、极低的时延	19
5G	引入	毫米波	20
5G	选用	与4G不同的信道编码方式	21
5G	采用	天线波束赋形技术	22
5G	发展	大规模MIMO系统和立体三维MIMO技术	23
5G基站	必须	更加密集	24
5G	增加	网络的复杂性	25
5G	增加	网络运营商的投资和运营成本	26
无线局域网	分为	有固定基础设施和无固定基础设施两大类	27
无线局域网标准	是	IEEE的802.11系列	28
使用802.11系列协议的局域网	又称为	Wi-Fi	29
