subject	predicate	object	source_row
VLAN	解决	不同VLAN间的通信问题	0
交换机	嵌入	转发模块	1
转发模块	用于	不同VLAN间转发帧	2
第3层交换	实现	第3层的转发功能	3
L3/L2交换机	称为	第3层交换机	4
100BASE-T以太网	也称为	快速以太网	5
快速以太网	使用	IEEE 802.3的CSMA/CD协议	6
100BASE-T以太网	允许	直接升级到100 Mbit/s	7
100BASE-T适配器	能够	自动识别10 Mbit/s和100 Mbit/s	8
100BASE-T以太网	在	全双工方式下工作而无冲突发生	9
吉比特以太网	允许	在1 Gbit/s下全双工和半双工两种方式工作	10
吉比特以太网	使用	IEEE 802.3协议规定的帧格式	11
吉比特以太网	与	10BASE-T和100BASE-T技术向后兼容	12
10GbE	称为	万兆比特	13
10GbE	保留	802.3标准规定的以太网最小帧长和最大帧长	14
10GbE	只工作在	全双工方式	15
10GbE	不使用	CSMA/CD协议	16
40GbE/100GbE	制定	IEEE 802.3ba-2010和802.3bm-2015标准	17
以太网	可以	提供双向的宽带通信	18
以太网	可以	根据用户对带宽的需求灵活地进行带宽升级	19
PPPoE	是	在以太网上运行PPP	20
PPPoE	用于	宽带上网的主机使用的链路层协议	21
以太网	实现	端到端的以太网传输	22
以太网	适应	多种传输媒体	23
以太网	简化	操作和管理	24
以太网	从	10 Mbit/s发展到400 Gbit/s	25
以太网	证明是	可扩展的、灵活的、易于安装的、稳健性好的	26
链路	是	从一个节点到相邻节点的一段物理线路	27
数据链路层	传送的协议数据单元是	帧	28
数据链路层	使用的检错方法是	循环冗余检验CRC	29
点对点协议PPP	是	数据链路层使用最多的一种协议	30
局域网	具有	广播功能	31
以太网	采用	无连接的工作方式	32
以太网	采用	具有冲突检测的载波监听多点接入CSMA/CD	33
以太网交换机	工作在	数据链路层	34
以太网适配器	具有	过滤功能	35
以太网	使用	MAC地址	36
集线器	工作在	物理层	37
交换式集线器	常称为	以太网交换机或第二层交换机	38
10GbE	使用	波分复用技术	39
IEEE 802.3bs标准	包括	200 GbE和400 GbE两种速率	40
以太网	扩大到	城域网和广域网	41
以太网	价格大约只有	同步光纤网SONET的五分之一	43
