subject	predicate	object	source_row
网际控制报文协议ICMP	用于	更有效地转发IP数据报和提高交付成功的机会	0
ICMP	允许	主机或路由器报告差错情况和提供有关异常情况的报告	1
ICMP	是	互联网的标准协议	2
ICMP	不是	高层协议	3
ICMP	是	IP层的协议	4
ICMP报文	作为	IP层数据报的数据	5
ICMP报文格式	包括	类型、代码和检验和	6
ICMP	分为	ICMP差错报告报文和ICMP询问报文	7
ICMP差错报告报文	包括	终点不可达、时间超过、参数问题和改变路由	8
ICMP询问报文	包括	回送请求或回送回答和时间戳请求或时间戳回答	9
ICMP报文的代码字段	用于	进一步区分某种类型中的几种不同情况	10
检验和字段	用来	检验整个ICMP报文	11
终点不可达	是	当路由器或主机不能交付数据报时发送的报文	12
时间超过	是	当路由器收到生存时间为零的数据报时发送的报文	13
参数问题	是	当路由器或目的主机收到的数据报的首部中有的字段的值不正确时发送的报文	14
改变路由	是	路由器把改变路由报文发送给主机的报文	15
ICMP差错报告报文	包含	收到的需要进行差错报告的IP数据报的首部和数据字段的前8个字节	16
回送请求或回送回答	用于	测试目的站是否可达以及了解其有关状态	17
时间戳请求或时间戳回答	用于	计算当前网络的往返时延	18
分组网间探测PING	使用	ICMP回送请求与回送回答报文	19
PING	是	应用层直接使用网络层ICMP的一个例子	20
traceroute	用于	跟踪一个分组从源点到终点的路径	21
traceroute	在	Windows操作系统中称为tracert	22
traceroute	发送	一连串的IP数据报	23
IP数据报	封装	无法交付的UDP用户数据报	24
ICMP时间超过差错报告报文	由	路由器发送给源主机	25
ICMP终点不可达差错报告报文	由	目的主机发送给源主机	26
IP	是	互联网的核心协议	27
IP地址耗尽	导致	IANA停止向地区互联网注册机构RIR分配IPv4地址	28
解决IP地址耗尽	需要	采用具有更大地址空间的新版本的IP，即IPv6	29
IPv6	发布	2017年7月	30
IPv6	是	IP的新版本	31
ICMP报文	不包括	对ICMP差错报告报文的ICMP差错报告报文	32
ICMP报文	不包括	对第一个分片的数据报片的所有后续数据报片的ICMP差错报告报文	33
ICMP报文	不包括	对具有多播地址的数据报的ICMP差错报告报文	34
ICMP报文	不包括	对具有特殊地址的数据报的ICMP差错报告报文	35
ICMP	允许	主机或路由器报告差错情况	36
ICMP	允许	主机或路由器提供有关异常情况的报告	37
ICMP报文	作为	IP数据报的数据部分发送	38
ICMP报文	具有	统一的格式	39
ICMP报文	包括	数据字段	40
ICMP差错报告报文	共有	四种类型	41
ICMP询问报文	包括	回送请求或回送回答	42
ICMP询问报文	包括	时间戳请求或时间戳回答	43
ICMP标准	在	不断更新	44
ICMP	不再使用	信息请求与回答报文	45
ICMP	不再使用	地址掩码请求与回答报文	46
ICMP	不再使用	路由器请求与通告报文	47
ICMP	不再使用	源点抑制报文	48
