subject	predicate	object	source_row
应用层协议	使	用户可以更加方便地利用互联网的资源	0
特定应用	需要	互联网的支持	1
特定应用	不能直接使用	已经标准化的互联网应用协议	2
系统调用和应用编程接口	是	了解如何让不能直接使用标准化互联网应用协议的特定应用获得互联网支持的关键	3
系统调用	是	操作系统用来在应用程序和操作系统之间传递控制权的机制	4
系统调用接口	又称为	应用编程接口API	5
API	定义	许多标准的系统调用函数	6
TCP/IP协议软件	已驻留在	操作系统中	7
TCP/IP协议族	被设计成	能运行在多种操作系统环境中	8
套接字接口	是	一种著名的API，由美国加利福尼亚大学伯克利分校为Berkeley UNIX操作系统定义	9
微软公司	采用了	套接字接口API	10
微软公司的套接字接口API	称为	Windows Socket（WinSock）	11
AT&T	定义了	TLI (Transport Layer Interface)	12
计算机之间的通信	是	本计算机读取另一个地点的计算机中的数据或将数据写入到另一个地点的计算机中	13
套接字	作为	应用进程和运输层协议之间的接口	14
套接字	已成为	计算机操作系统内核的一部分	15
应用程序	必须通过	套接字与操作系统交互	16
socket系统调用	用于	请求操作系统创建一个套接字	17
操作系统	分配	网络通信所需的系统资源给应用进程	18
套接字描述符	是	操作系统用来表示网络通信资源总和的号码	19
应用进程	通过	套接字描述符进行网络操作	20
close系统调用	用于	通知操作系统回收与套接字描述符相关的所有资源	21
bind系统调用	用于	指明套接字的本地地址	22
listen系统调用	用于	把套接字设置为被动方式，以便接受客户的服务请求	23
accept系统调用	用于	提取远地客户进程发来的连接请求	24
connect系统调用	用于	和远地服务器建立连接	25
send系统调用	用于	在TCP连接上传送数据	26
recv系统调用	用于	在TCP连接上接收数据	27
close系统调用	用于	释放连接和撤销套接字	28
P2P应用	是	具有P2P体系结构的网络应用	29
P2P体系结构	特征为	没有固定服务器，绝大多数交互使用对等方式进行	30
P2P文件分发	不需要	使用集中式的媒体服务器	31
P2P文件分发	通过	普通互联网用户之间传输音频/视频文件	32
Napster	是	最早使用P2P工作方式的软件之一	33
