subject	predicate	object	source_row
数据传送	涉及	用户层面	0
信令传送	需要使用	不同的协议栈	1
eNB和MME之间信令传送	使用	流控制传输协议SCTP	2
MME和HSS之间信令传送	使用	流控制传输协议SCTP	3
两个eNB之间信令传送	使用	流控制传输协议SCTP	4
SCTP	结合了	UDP和TCP的优点	5
SCTP	是	面向报文的可靠传输协议	6
IEEE 802.16标准	也称为	WiMAX标准	7
WiMAX	意为	全球微波接入的互操作性	8
WiMAX	流行	若干年后市场上已很难见到	9
LTE-Advanced	简称为	LTE-A	10
LTE-A	达到	ITU-R制定的4G标准	11
LTE-A网络	全球投入商用数量	超过100个	12
LTE-A网络	分布	49个国家和地区	13
LTE-A Pro	吞吐量超过	3 Gbit/s	14
LTE-A Pro	俗称	4.5G	15
3GPP	发布	R15/16等5G标准版本	16
移动IP	研究	移动站IP地址在移动中保持不变	17
移动站	必须有	原始地址（永久地址）	18
移动站原始连接到的网络	称为	归属网络	19
归属代理	是	连接在归属网络上的路由器	20
外地代理	是	连接在被访网络上的路由器	21
外地代理	为移动站创建	临时地址（转交地址）	22
转交地址	网络号必须和	被访网络一致	23
移动站	可以	充当外地代理	24
移动站当外地代理时的转交地址	称为	同址转交地址	25
通信者B	使用	A的永久地址作为发送的IP数据报中的目的地址	26
归属代理	截获	发给A的数据报	27
归属代理	把B发来的数据报	进行再封装	28
外地代理	把收到的封装的数据报	进行拆封	29
移动站	需要	向外地代理进行登记	30
外地代理	向移动站的归属代理登记移动站的转交地址		31
归属代理	收到	发送给移动站的数据报	32
外地代理	收到	归属代理封装好的数据报	33
间接路由选择	又称为	数据报转发过程	34
三角形路由选择问题	可能引起	数据报转发的低效	35
直接路由选择	解决	三角形路由选择问题	36
移动用户定位协议	用来使	通信者代理向移动站的归属代理查询移动站的转交地址	37
移动性管理	涉及	新增的措施和协议	38
TCP连接	可能由于	移动用户切换引起报文段的丢失	39
TCP	默认	报文段丢失是由网络拥塞造成的	40
本地恢复	是	差错在什么地方出现，就在什么地方改正	41
TCP发送方	需要知道	什么地方使用了无线链路	42
端到端TCP连接	拆成	两个互相串接的TCP连接	43
蜂窝移动通信	发展规律	大约是十年更新一代	44
5G	发展到	第五代蜂窝移动通信	45
5G	特点	支持高质音频和视频传输和高速移动互联网业务	46
工信部	宣布	5G的商用正式启动	47
