subject	predicate	object	source_row
运输层	为	相互通信的应用进程提供逻辑通信	0
运输层	包含	端口和套接字的意义	1
UDP	是	无连接的	2
TCP	是	面向连接的	3
运输层	实现	在不可靠的网络上的可靠传输	4
运输层	使用	停止等待协议和ARQ协议	5
TCP	具有	滑动窗口、流量控制、拥塞控制和连接管理	6
运输层	提供	复用和分用功能	7
IP协议	负责	将分组送至目的主机	8
运输层	负责	将分组交付目的主机中的应用进程	9
主机中多个应用进程	可以	同时与另一主机中的多个应用进程通信	10
浏览器客户进程	用于	查找网站信息	11
电子邮件客户进程	用于	发送反馈意见	12
运输层	向	应用层提供逻辑通信服务	13
网络层	为	主机之间的通信提供服务	14
运输层	向	高层用户屏蔽网络核心的细节	15
TCP协议	提供	全双工的可靠信道	16
UDP协议	提供	不可靠信道	17
TCP/IP运输层	包含	UDP和TCP两个主要协议	18
UDP	传送数据前	不需要建立连接	19
TCP	提供	面向连接的服务	20
TCP	增加	确认、流量控制、计时器以及连接管理等开销	21
应用层协议	根据	使用的运输层协议是TCP或UDP	22
DNS	使用	UDP协议	23
TFTP	使用	UDP协议	24
RIP	使用	UDP协议	25
DHCP	使用	UDP协议	26
SNMP	使用	UDP协议	27
NFS	使用	UDP协议	28
SMTP	使用	TCP协议	29
TELNET	使用	TCP协议	30
HTTP	使用	TCP协议	31
FTP	使用	TCP协议	32
协议端口	是	应用层和运输层之间的抽象的门	33
端口号	用于	标志本计算机应用层中的各个进程在和运输层交互时的层间接口	34
熟知端口号	是	0~1023的端口号	35
登记端口号	是	1024~49151的端口号	36
短暂端口号	是	49152~65535的端口号	37
UDP	提供	复用和分用功能以及差错检测功能	38
短暂端口	表示	存在时间短期的端口	39
服务器程序	使用	熟知端口以便互联网上所有的客户程序能找到	40
