subject	predicate	object	source_row
前同步码	使	接收端的适配器在接收MAC帧时能够迅速调整其时钟频率	0
前同步码	实现	位同步	1
帧开始定界符	定义为	10 10 10 11	2
帧开始定界符的前六位	作用与	前同步码一样	3
连续的两个1	告诉接收端适配器	MAC帧的信息马上就要来了	4
FCS字段的检验范围	不包括	前同步码和帧开始定界符	5
以太网	传送数据时以	帧为单位	6
以太网	在传送帧时	各帧之间还必须有一定的间隙	7
IEEE 802.3标准	规定	无效的MAC帧的三种情况	8
有效的MAC帧长度	为	64 ~ 1518字节之间	9
检查出的无效MAC帧	被	简单地丢弃	10
以太网	不负责	重传丢弃的帧	11
IEEE 802.3标准	规定	MAC帧的第三个字段是'长度/类型'	12
长度字段	表示	MAC帧的数据部分长度	13
类型字段	表示	帧格式	14
LLC帧	必须装入	逻辑链路控制子层	15
以太网V2 MAC帧	与	IEEE 802.3标准的MAC帧格式的区别	16
扩展的以太网	在物理层和数据链路层	进行扩展	17
以太网集线器	通过	光纤和光纤调制解调器连接主机	18
光纤调制解调器	进行	电信号和光信号的转换	19
多个集线器	连接成	更大范围的多级星形结构的以太网	20
多级结构的集线器以太网	带来	跨系的通信和扩大以太网覆盖的地理范围	21
多级结构的集线器以太网	导致	最大吞吐量降低	22
集线器	是	多端口的转发器	23
网桥	根据	MAC帧的目的地址进行转发和过滤	24
交换式集线器	称为	以太网交换机或第二层交换机	25
以太网交换机	实质上是	多端口的网桥	26
以太网交换机	具有	并行性和存储器	27
以太网交换机	是	即插即用设备	28
以太网交换机	使用	专用的交换结构芯片	29
以太网交换机	性能超过	普通的集线器	30
以太网交换机	具有	多种速率的端口	31
直通交换	提高	帧的转发速度	32
直通交换	不检查	差错就直接将帧转发出去	33
以太网交换机的学习功能	通过	自学习算法自动建立交换表	34
交换表	是	内容可寻址存储器CAM	35
以太网交换机	使用	硬件转发收到的帧	36
生成树协议STP	制定	IEEE的802.1D标准	37
生成树协议STP	消除	兜圈子现象	38
总线以太网	使用	CSMA/CD协议	39
以太网交换机	不使用	CSMA/CD协议	40
以太网	采用	全双工方式工作	41
虚拟局域网	定义	IEEE的802.3ac标准	42
VLAN标签	插入在	以太网MAC帧的源地址字段和类型字段之间	43
VLAN标签	称为	802.1Q帧	44
VLAN标签	由	12位的VLAN标识符VID组成	45
汇聚链路	称为	trunk link或干线链路	46
第三层交换	实现	第3层的转发功能	47
第三层交换机	称为	L3/L2交换机	48
高速以太网	从	10 Mbit/s以太网发展而来	49
100BASE-T以太网	称为	快速以太网	50
快速以太网	使用	100 Mbit/s的适配器和集线器或交换机	51
100BASE-T以太网	保持	CSMA/CD协议	52
快速以太网	使用	全双工方式工作	53
快速以太网	不使用	CSMA/CD协议	54
100BASE-T以太网	使用	无屏蔽双绞线布线	55
100 Mbit/s以太网	保持	最短帧长不变	56
100 Mbit/s以太网	争用期为	5.12 µs	57
100 Mbit/s以太网	帧间最小间隔为	0.96 µs	58
参数α	保持	很小的数值	59
以太网单程端到端时延	与	帧的发送时间的乘积不变	60
网络电缆长度	减小到	原有数值的十分之一	61
VLAN	允许	在以太网的帧格式中插入一个4字节的标识符	62
VLAN-10和VLAN-20	是	虚拟局域网的编号	63
虚拟局域网	跨越	不同交换机	64
汇聚链路	用于	连接两个交换机	65
802.1Q帧	在	汇聚链路传送	66
标准以太网帧	被	802.1Q帧替换	67
不同网络之间的通信	由	网络层中的路由器解决	68
第三层交换机	嵌入了	专用芯片构成的转发模块	69
第三层交换	提高了	转发帧的速率	70
10BASE-T以太网	升级到	100 Mbit/s	71
100 Mbit/s的适配器	自动识别	10 Mbit/s和100 Mbit/s	72
IEEE 802.3u	是	100BASE-T快速以太网的正式标准	73
快速以太网	保持	IEEE 802.3标准规定的帧格式	74
IEEE 802.3u标准	未包括	对同轴电缆的支持	75
100 Mbit/s以太网	采用	保持争用期不变的方法	76
100 Mbit/s以太网	减小	网络电缆长度	77
以太网	保持	帧长一定的条件下	78
争用期	是	10 Mbit/s以太网的1/10	79
帧间最小间隔	是	10 Mbit/s以太网的1/10	80
