subject	predicate	object	source_row
新浪微博	是	社交网站	0
腾讯微博	是	社交网站	1
领英Linkedin	是	职业性社交网站	2
微信	是	社交网站	3
微信	最初是	专为手机用户使用的聊天工具	4
电子邮件	可以发送给	网上任何一个并不认识你的用户	5
电子邮件	具有	传递迅速和费用低廉的优点	6
电子邮件	可提高	劳动生产率30%以上	7
电子邮件	可传送	文字信息、声音和图像	8
电子邮件	导致	传统电报业务退出市场	9
简单邮件传送协议SMTP	是	电子邮件的草案标准之一	10
互联网文本报文格式	是	电子邮件的草案标准之一	11
通用互联网邮件扩充MIME	是	草案标准	12
MIME	在其邮件首部中说明了	邮件的数据类型	13
电子邮件系统	应具有	用户代理、邮件服务器和邮件发送协议	14
用户代理UA	是	用户与电子邮件系统的接口	15
用户代理	又称为	电子邮件客户端软件	16
用户代理	提供	编辑信件的环境	17
用户代理	能	在计算机屏幕上显示出来信	18
用户代理	处理	包括发送邮件和接收邮件	19
邮件服务器	功能是	发送和接收邮件	20
邮件服务器	需要使用	SMTP协议和POP3协议	21
SMTP服务器	收到用户代理发来的邮件后	把邮件临时存放在邮件缓存队列中	22
SMTP客户	与	SMTP服务器建立TCP连接	23
电子邮件地址	规定	用户名＠邮件服务器的域名格式	24
SMTP	规定了	在两个SMTP进程之间如何交换信息	25
SMTP	规定了	14条命令和21种应答信息	26
SMTP通信	包括	连接建立、邮件传送和连接释放三个阶段	27
SMTP客户	发送	MAIL命令开始邮件传送	28
RCPT命令	是	recipient的缩写	29
DATA命令	表示	要开始传送邮件的内容	30
SMTP	使用	TCP连接传送邮件	31
POP3	是	邮局协议的版本3	32
IMAP	是	网际报文存取协议	33
MIME	定义了	传送编码	34
MIME	定义了	许多邮件内容的格式	35
MIME	增加了	邮件主体的结构	36
MIME邮件	可在	现有的电子邮件程序和协议下传送	37
MIME	包括	5个新的邮件首部字段	38
Content-Transfer-Encoding	说明	邮件的主体是如何编码的	39
Content-Type	说明	邮件主体的数据类型和子类型	40
万维网电子邮件	不需要	在计算机中安装用户代理软件	41
HTTP协议	用于	浏览器和互联网上的邮件服务器之间传送邮件	42
SMTP协议	用于	各邮件服务器之间传送邮件	43
MIME	允许	发件人和收件人自己定义专用的内容类型	44
multipart	是	MIME内容类型中很有用的部分	45
multipart	定义了	四种可能的子类型	46
base64编码	用于	任意的二进制文件	47
quoted-printable编码	适用于	所传送的数据中只有少量的非ASCII码	48
MIME	允许	在同一数据中附上文本、图形和声音	49
MIME	允许	用户同时用普通ASCII文本和格式化的形式发送文本	50
