subject	predicate	object	source_row
计算机网络	在信息时代的作用	实现信息化必须依靠完善的网络，网络可以非常迅速地传递信息，已经成为信息社会的命脉和发展知识经济的重要基础，对社会生活和经济发展产生了不可估量的影响。	0
计算机网络	包括	电信网络、有线电视网络和计算机网络。	1
计算机网络	提供服务	在计算机之间传送数据文件。	2
计算机网络	发展最快并起着核心作用	是信息时代中发展最快并起着核心作用的网络。	3
计算机网络	技术发展	电信网络和有线电视网络逐渐融入了现代计算机网络的技术，扩大了原有的服务范围。	4
计算机网络	提供的服务	包括电话通信、视频通信以及传送视频节目的服务。	5
计算机网络	融合概念	三网融合，即把电信网络、有线电视网络和计算机网络融合成一种网络提供所有服务。	6
计算机网络	发展	20世纪90年代以后，以Internet为代表的计算机网络得到了飞速发展，从最初的仅供美国人使用的免费教育科研网络逐步发展成为供全球使用的商业网络。	7
计算机网络	重要性	是人类自印刷术发明以来在存储和交换信息领域的最大变革。	8
Internet	中文译名	因特网，这个译名是全国科学技术名词审定委员会推荐的。	9
Internet	发展	从最初的仅供美国人使用的免费教育科研网络逐步发展成为供全球使用的商业网络。	10
Internet	作用	是人类自印刷术发明以来在存储和交换信息领域的最大变革。	11
Internet	服务	供全球使用的商业网络（有偿使用）。	12
计算机网络	组成	由边缘部分和核心部分组成。	13
计算机网络	性能指标	包括计算机网络的性能指标。	14
计算机网络	体系结构	分层次的体系结构，包含协议和服务的概念。	15
