subject	predicate	object	source_row
互联网	提供	音频/视频服务	0
多媒体信息	包括	声音和图像信息	1
多媒体信息	特点	信息量大	2
多媒体信息	特点	对时延和时延抖动有较高要求	3
电话声音信息	采用	标准的PCM编码	4
高质量立体声音乐CD信息	使用	PCM编码	5
互联网	使用	TCP协议	6
TCP协议	解决	IP层不能提供可靠交付的问题	7
传输多媒体数据	隐含	边传输边播放	8
模拟信号	需要	经过采样和模数转换变为数字信号	9
分组	在发送时的时间间隔	恒定的	10
互联网	是非等时的	因为每一个分组独立地传送	11
缓存	使	所有到达的分组都经受了延迟	12
播放时延T	定义为	从最初的分组开始到达缓存算起，经过时间T后就按固定时间间隔把缓存中的分组按先后顺序依次读出	13
实时数据传输	应采用	UDP协议	14
UDP协议	用于	传送实时数据	15
流式存储音频/视频	特点	能够边下载边播放	16
流式实况音频/视频	特点	音频/视频节目不是事先录制好和存储在服务器中的，而是在发送方边录制边发送	17
交互式音频/视频	包括	互联网电话或互联网电视会议	18
流媒体	定义为	流式音频/视频	19
流媒体	特点	不是全部都收录下来再开始播放	20
