subject	predicate	object	source_row
ZigBee网络	中包含	路由器RFD节点和协调器FFD节点	0
RFD节点	只能与	星形网中心的FFD节点交换数据	1
FFD节点	充当	ZigBee网络的协调器	2
协调器	负责	维护整个ZigBee网络的节点信息	3
协调器	可以	与其他ZigBee网络的协调器交换数据	4
高速WPAN	标准是	IEEE 802.15.3	5
高速WPAN	支持	11~55 Mbit/s的数据率	6
IEEE 802.15.3a工作组	提出	超高速WPAN物理层标准	7
超高速WPAN	使用	超宽带UWB技术	8
超宽带UWB技术	工作在	3.1~10.6 GHz微波频段	9
蜂窝移动通信系统	又称为	小区制移动通信	10
蜂窝无线通信网	最初用来	打电话	11
蜂窝无线通信技术	使得	手机成为接入互联网最主要的用户设备	12
蜂窝移动通信系统	使用最多的是	蜂窝移动通信	13
第一代蜂窝移动通信系统	使用	模拟技术和传统电路交换及频分多址FDMA	14
第二代蜂窝移动通信系统	代表性体制是	GSM系统	15
蜂窝移动通信	特点	把整个网络服务区划分成许多小区	16
GSM系统	使用	数字技术	17
GSM系统	提供	基本的话音通信服务	18
GSM系统	采用	FDMA/TDMA的混合系统	19
GSM系统	包括	基站子系统和网络子系统	20
基站子系统	包括	几十个基站和一个基站控制器BSC	21
核心网	包括	移动交换中心MSC和网关移动交换中心GMSC	22
MSC	负责	用户的授权和账单	23
GPRS	是	通用分组无线服务	24
EDGE	是	增强型数据速率GSM演进	25
3G蜂窝移动通信系统	标准名称定为	IMT-2000	26
3GPP	制定	从2G GSM平滑过渡到3G的端到端标准	27
3GPP R99版本	要求	下行和上行的数据率都要超过384 kbit/s	28
UTRANT	由	多个无线网络系统组成	29
无线网络控制器RNC	和	许多基站组成UTRANT	30
3G UMTS	把移动站称为	用户设备UE	31
4G蜂窝移动通信系统	称为	IMT-Advanced	32
4G	取消	电路交换	33
4G	全部使用	分组交换技术	34
LTE	是	长期演进	35
LTE	采用	频分复用与时分复用相结合的方式，称为正交频分多址OFDMA	36
LTE	采用	高阶调制64QAM	37
LTE	采用	多天线的多入多出MIMO技术	38
E-UTRAN	取消	无线网络控制器RNC	39
E-UTRAN	把基站称为	演进的节点B，简称为eNB	40
核心网EPC	由	用户层面和控制层面组成	41
P-GW	负责	给所有用户设备UE分配IP地址和确保服务队列QoS的实施	42
S-GW	负责	用户层面的数据分组的转发和路由选择	43
HSS	是	中心数据库	44
MME	负责	移动性管理	45
移动IP	研究	移动站的IP地址在移动中保持不变	46
