subject	predicate	object	source_row
数据链路层	属于	计算机网络的低层	0
数据链路层	使用的信道主要有	点对点信道和广播信道	1
点对点信道	采用	一对一的点对点通信方式	2
广播信道	采用	一对多的广播通信方式	3
局域网	不放在	网络层中讨论	4
网络层	讨论	多个网络互连的问题	5
局域网	属于	数据链路层的范围	6
点对点协议PPP	是在	点对点信道上最常用的协议	7
无线局域网	讨论将在	第9章中进行	8
数据链路层	关注	封装成帧、透明传输和差错检测	9
以太网MAC层	有	硬件地址	10
适配器、转发器、集线器、网桥、以太网交换机	有各自的作用以及使用场合		11
主机H1向H2发送数据	经过	三个路由器	12
路由器	在转发分组时使用的协议栈只有	下面的三层	13
数据从主机H1传送到主机H2	需要在路径中的各节点的协议栈向上和向下流动多次		14
数据链路层的问题	可以只关心	协议栈中水平方向的各数据链路层	15
通信	可以看成由	四段不同的链路层通信组成	16
这四段不同的链路层	可能采用	不同的数据链路层协议	17
数据链路层	重点讨论	使用点对点信道的一些基本问题	18
某些概念	也适用	于广播信道	19
适配器	包括	数据链路层和物理层这两层的功能	20
链路	分为	物理链路和逻辑链路	21
早期的数据通信协议	曾叫作	通信规程	22
在数据链路层	规程和协议是	同义词	23
数据链路层	把网络层交下来的数据构成	帧发送到链路上	24
数据链路层	把接收到的帧中的数据	取出并上交给网络层	25
互联网中网络层协议数据单元	是	IP数据报	26
数据链路层协议	有许多种	但有三个基本问题是共同的	27
这三个基本问题	是	封装成帧、透明传输和差错检测	28
封装成帧	就是在一段数据的前后分别添加	首部和尾部	29
接收端	能根据首部和尾部的标记	从收到的比特流中识别帧的开始和结束	30
帧	由	帧首部、帧的数据部分和帧尾部组成	31
帧长	等于	帧的数据部分长度加上帧首部和帧尾部的长度	32
首部和尾部	包括	许多必要的控制信息	33
透明传输	表示	无论什么样的比特组合的数据，都能够按照原样没有差错地通过数据链路层	34
字节填充	用于	解决透明传输问题	35
差错检测	用于	保证数据传输的可靠性	36
循环冗余检验CRC	是一种	广泛使用的检错技术	37
帧检验序列FCS	是	添加在数据后面的冗余码	38
可靠传输	要求	数据链路层的发送端发送什么，在接收端就收到什么	39
传输差错	可分为	比特差错和帧丢失、帧重复或帧失序	40
点对点协议PPP	是	用户计算机和ISP进行通信时所使用的数据链路层协议	41
PPP协议	是目前使用得最广泛的	数据链路层协议	42
高级数据链路控制HDLC	是	过去比较流行的数据链路层协议	43
HDLC	现在	很少使用	44
数据链路层	不要求	向上提供可靠传输的服务	45
改正差错的任务	由	上层协议来完成	46
对于通信质量良好的有线传输链路	数据链路层协议不使用	确认和重传机制	47
对于通信质量较差的无线传输链路	数据链路层协议使用	确认和重传机制	48
可靠传输协议	将在	第5章中讨论	49
本章介绍的数据链路层协议	都不是	可靠传输的协议	50
数据链路层	使用CRC检验	实现无比特差错的传输	51
OSI	过去的观点是	必须让数据链路层向上提供可靠传输	52
互联网	采取	区别对待的方法	53
PPP协议	用于	实现可靠传输	54
