subject	predicate	object	source_row
第2章	讨论	物理层的基本概念	0
物理层	考虑的是	如何在连接各种计算机的传输媒体上传输数据比特流	1
物理层	不是	指具体的传输媒体	2
物理层的作用	是	屏蔽掉传输媒体和通信手段的差异	3
物理层	使	数据链路层感觉不到这些差异	4
物理层协议	也称为	物理层规程	5
物理层的主要任务	描述为	确定与传输媒体的接口有关的一些特性	6
机械特性	指明	接口所用接线器的形状和尺寸、引脚数目和排列、固定和锁定装置等	7
电气特性	指明	在接口电缆的各条线上出现的电压的范围	8
功能特性	指明	某条线上出现的某一电平的电压的意义	9
过程特性	指明	对于不同功能的各种可能事件的出现顺序	10
物理层	完成	传输方式的转换	11
数据在计算机内部	多采用	并行传输方式	12
数据在通信线路上	一般采用	串行传输	13
物理层协议	种类较多	因为物理连接的方式很多	14
物理层协议	种类较多	因为传输媒体的种类非常多	15
学习物理层	应将重点放在	掌握基本概念上	16
物理层的任务	是	本章最重要的内容之一	17
几种常用的信道复用技术	是	本章最重要的内容之一	18
几种常用的宽带接入技术	是	本章最重要的内容之一	19
重点是		FTTx	20
传输媒体	不属千	物理层的范围	21
数据链路层	只需要考虑	如何完成本层的协议和服务	22
数据链路层	不必考虑	网络具体的传输媒体和通信手段	23
物理层规程	就是	物理层协议	24
物理层	确定	与传输媒体的接口有关的一些特性	25
数据在计算机内部	通常	采用并行传输方式	27
数据在通信线路上	通常	采用串行传输	28
物理层协议	因	物理连接的方式很多	29
物理层协议	因	传输媒体的种类非常多	30
物理层	应将	重点放在掌握基本概念上	31
物理层的任务	包括	确定与传输媒体的接口有关的一些特性	32
几种常用的信道复用技术	是	本章的重要内容	33
几种常用的宽带接入技术	是	本章的重要内容	34
FTTx	是	宽带接入技术的重点	35
物理层	涉及	传输方式的转换	36
物理层	不涉及	具体的传输媒体	37
物理层	屏蔽掉	传输媒体和通信手段的差异	38
数据链路层	感觉不到	这些差异	39
物理层规程	称为	物理层协议	40
物理层	确定	机械特性	41
物理层	确定	电气特性	42
物理层	确定	功能特性	43
物理层	确定	过程特性	44
物理层	应将	重点放在掌握基本概念	49
