subject	predicate	object	source_row
物理层	位于	数据传输系统的底层	0
传输媒体	称为	传输介质或传输媒介	1
传输媒体	是	数据传输系统中在发送器和接收器之间的物理通路	2
传输媒体	分为	导引型传输媒体和非导引型传输媒体	3
导引型传输媒体	包括	铜线或光纤	4
非导引型传输媒体	指	自由空间	5
非导引型传输媒体	称为	无线传输	6
电信领域	使用的	电磁波的频谱	7
双绞线	称为	双扭线	8
双绞线	是	最古老但最常用的传输媒体	9
双绞线	用于	减少对相邻导线的电磁干扰	10
电话系统	使用	双绞线连接到电话交换机	11
以太网	基本上使用	各种类型的双绞线电缆进行连接	12
同轴电缆	由	内导体铜质芯线、绝缘层、网状编织的外导体屏蔽层以及绝缘保护套层所组成	13
光缆	用于	传输较高速率的数据	14
光纤通信	利用	光导纤维传递光脉冲来进行通信	15
光纤	由	纤芯和包层构成双层通信圆柱体	16
光纤通信	具有	非常高的传输带宽	17
多模光纤	允许	多条不同角度入射的光线在一条光纤中传输	18
单模光纤	使	光线一直向前传播而不会产生多次反射	19
光纤	具有	通信容量非常大的优点	20
光纤	具有	传输损耗小，中继距离长的特点	21
光纤	具有	抗雷电和电磁干扰性能好的特点	22
光纤	具有	无串音干扰，保密性好的特点	23
光纤	具有	体积小，重量轻的特点	24
非导引型传输媒体	用于	无线电波在自由空间的传播	25
无线传输	可以	使用多个波段进行通信	26
微波通信	主要使用	2 GHz ~ 40 GHz的频率范围	27
微波接力通信	称为	微波通信	28
卫星通信	利用	人造同步地球卫星作为中继器	29
同步地球卫星	位于	约3万6千公里高空	30
卫星通信	具有	通信距离远且费用与通信距离无关的特点	31
卫星通信	具有	较大的传播时延	32
信道复用技术	包括	频分复用FDM和时分复用TDM	33
频分复用FDM	允许	多路信号在同样的时间内占用不同的带宽资源	34
时分复用TDM	允许	所有用户在不同的时间占用同样的频带宽度	35
时分复用TDM	称为	等时信号	36
频分多址接入FDMA	基于	频分复用技术	37
时分多址接入TDMA	基于	时分复用技术	38
无线局域网	使用	ISM频段	39
ISM频段	包括	2.4 GHz和5.8 GHz频段	40
红外通信、激光通信	使用	非导引型媒体	41
复用技术	允许	多个用户共享信道资源	42
频分复用FDM	通过	调制方法把各路信号搬移到适当的频率位置	43
时分复用TDM	通过	划分时间段让各路信号轮流占用	44
无线移动通信	与	互联网一样得到了飞速发展	45
无线局域网	获得了	越来越广泛的应用	46
卫星通信	适合于	偏远地区和远洋通信	47
卫星通信	适合于	广播通信	48
同步卫星	使用寿命一般为	10 ~ 15年	49
卫星地球站	具有	技术复杂和价格高的特点	50
低轨道卫星通信系统	已开始使用	大功率、大容量、低轨道宽带卫星	51
低轨道卫星	相对地球是	非静止的，而是不停地围绕地球旋转	52
