triple_id,subject,predicate,object,label_strict,label_relaxed,note
2113,低轨道卫星,相对地球是,非静止的，而是不停地围绕地球旋转,,,
926,局域网,特点包括,地理范围和站点数目有限,,,
36,本地站点单播地址,占IPv6地址总数的,1/1024,,,
1113,确认迟到,导致,发送方收到重复的确认,,,
188,TCP,是,面向连接的协议,,,
690,分组交换,需要,专门的管理和控制机制,,,
2809,吞吐量,表示,单位时间内通过某个网络的实际数据量,,,
1209,顶级域名服务器,告诉,本地域名服务器下一步应当向哪一个权限域名服务器进行查询,,,
1246,SDN,使得,网络管理更加高效,,,
838,SIP,是,会话发起协议,,,
1690,循环冗余检验CRC,是一种,广泛使用的检错技术,,,
2650,虚拟专用网VPN,使得,机构内部的通信更加安全,,,
710,分组交换,适合,计算机数据通信,,,
251,发送窗口,受到,网络拥塞程度的制约,,,
1445,多级结构的集线器以太网,导致,最大吞吐量降低,,,
1431,IEEE 802.3标准,规定,无效的MAC帧的三种情况,,,
2789,爱特信公司,创立者,张朝阳,,,
1823,物联网IoT,主要应用领域是,组成各种无线传感器网络,,,
25,IPv6,取消了,检验和字段,,,
983,混杂方式,允许适配器接收,所有在以太网上传输的帧,,,
1312,无源光网络PON,无须,配备电源,,,
399,TELNET,使用,客户服务器方式,,,
1743,IEEE 802.11i,努力解决,无线局域网的安全问题,,,
2127,UDP的首部开销,是,8个字节,,,
1776,全世界移动电话的普及率,达到,96.8%,,,
2974,TFTP,可用,在UDP环境中,,,
1137,累积确认,可能导致,发送方无法及时了解分组接收情况,,,
1515,调度机制,指,排队的规则,,,
2909,运输层,讨论,滑动窗口,,,
1173,顶级域名,由,ICANN进行管理,,,
98,IPv6,把,IP数据报的首部长度做成固定的,,,
3006,密码散列函数,具有,单向性,,,
1852,802.11数据帧,由,MAC首部、帧主体和帧检验序列FCS组成,,,
2808,带宽,指,网络中某通道传送数据的能力,,,
375,TCP,要求,接收方在缓存刚刚有了一点小的空间时不要急忙把这个很小的窗口大小信息通知给发送方,,,
2133,UDP,支持,多对一的通信,,,
1322,密钥分配,分为,三个步骤,,,
0,路由器,在收到数据报后,把TTL的值减1,,,
243,确认号字段,在SACK中,用法不变,,,
2201,MIME,包括,5个新的邮件首部字段,,,
1456,直通交换,不检查,差错就直接将帧转发出去,,,
1757,蓝牙5.0,数据率上限达,24 Mbit/s,,,
