subject	predicate	object	source_row
尾部丢弃策略	导致	一连串分组的丢失	0
TCP连接	进入	拥塞控制的慢开始状态	1
路由器中的尾部丢弃	可能	同时影响到很多条TCP连接	2
TCP连接	在	同一时间突然都进入到慢开始状态	3
这种现象	称为	全局同步(global synchronization)	4
全局同步	导致	全网的通信量突然下降了很多	5
网络恢复正常后	导致	通信量突然增大很多	6
主动队列管理AQM	是	为了避免发生网络中的全局同步现象	7
AQM	意味着	在队列长度达到某个值得警惕的数值时主动丢弃到达的分组	8
RED	是	随机早期检测(Random Early Detection)	9
RED	需要	使路由器维持两个参数，即队列长度最小门限和最大门限	10
TCP	是	面向连接的协议	11
TCP运输连接	用来	传送TCP报文	12
TCP运输连接	有三个阶段	连接建立、数据传送和连接释放	13
TCP连接建立	要解决	使每一方能够确知对方的存在	14
TCP连接建立	要解决	允许双方协商一些参数	15
TCP连接建立	要解决	对运输实体资源进行分配	16
TCP连接的建立	采用	客户服务器方式	17
主动发起连接建立的应用进程	称为	客户(client)	18
被动等待连接建立的应用进程	称为	服务器(server)	19
TCP建立连接的过程	称为	握手	20
握手	需要	在客户和服务器之间交换三个TCP报文段	21
SYN报文段	不能携带	数据	22
TCP客户进程	在打算建立TCP连接时	进入SYN-SENT状态	23
TCP服务器进程	在收到连接请求后	进入SYN-RCVD状态	24
TCP客户进程	收到确认后	进入ESTABLISHED状态	25
TCP服务器进程	收到确认后	进入ESTABLISHED状态	26
TCP连接释放	比较复杂	涉及双方状态的改变	27
TCP连接释放	需要	四报文握手	28
FIN报文段	即使不携带数据	也消耗掉一个序号	29
TCP	设有	保活计时器(keepalive timer)	30
保活计时器	用来	检测客户端是否正常	31
服务器	每收到一次客户的数据	就重新设置保活计时器	32
若两小时没有收到客户的数据	服务器	就发送一个探测报文段	33
服务器	若一连发送10个探测报文段后仍无客户的响应	就关闭这个连接	34
TCP的有限状态机	描述	TCP连接的各种状态之间关系	35
